hard_position,time,symbol,exchange,strategy,condition,side,shares,price,status,PNL_position,expected_return,contract,lastTradeDateOrContractMonth,date_to_close,strike,right,multiplier,localSymbol,commission,currency,realizedPNL,initMarginBefore,maintMarginBefore,initMarginChange,maintMarginChange,initMarginAfter,maintMarginAfter,conId,maximum_loss
3,2023-05-18 10:45:19,VIX,CBOE,VIX CALL BACKSPREAD HEDGE, vix_signal ==1,SLD,5.0,3.05,OPEN,,,"Option(conId=588771516, symbol='VIX', lastTradeDateOrContractMonth='20230620', strike=17.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='VIX   230621C00017000', tradingClass='VIX')",20230620,2023-06-04 00:00:00,17.0,C,100,VIX   230621C00017000,5.75775,USD,-117.7655,5163.78,5038.75,-1440.2199999999998,-1400.54,3723.56,3638.21,588771516,
3,2023-05-18 10:44:56,VIX,CBOE,VIX CALL BACKSPREAD HEDGE, vix_signal ==1,BOT,6.0,1.42,OPEN,,,"Option(conId=588771575, symbol='VIX', lastTradeDateOrContractMonth='20230620', strike=22.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='VIX   230621C00022000', tradingClass='VIX')",20230620,2023-06-04 00:00:00,22.0,C,100,VIX   230621C00022000,6.6093,USD,0.0,6604.31,6439.59,1290.6499999999996,1285.13,7894.96,7724.72,588771575,
3,2023-05-18 10:44:56,VIX,CBOE,VIX CALL BACKSPREAD HEDGE, vix_signal ==1,BOT,4.0,1.42,OPEN,,,"Option(conId=588771575, symbol='VIX', lastTradeDateOrContractMonth='20230620', strike=22.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='VIX   230621C00022000', tradingClass='VIX')",20230620,2023-06-04 00:00:00,22.0,C,100,VIX   230621C00022000,4.4062,USD,-24.8124,6604.31,6439.59,1290.6499999999996,1285.13,7894.96,7724.72,588771575,
1,2023-05-18 10:44:33,VIX,CBOE,VIX CALL BACKSPREAD HEDGE,,SLD,4.0,1.38,CLOSE,-inf,,"Option(conId=588771575, symbol='VIX', lastTradeDateOrContractMonth='20230620', strike=22.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='VIX   230621C00022000', tradingClass='VIX')",20230620,,22.0,C,100,VIX   230621C00022000,4.4062,USD,0.0,5314.15,5154.95,-1290.7799999999995,-1285.2399999999998,4023.37,3869.71,588771575,
1,2023-05-18 10:44:33,VIX,CBOE,VIX CALL BACKSPREAD HEDGE,,SLD,6.0,1.38,CLOSE,-inf,,"Option(conId=588771575, symbol='VIX', lastTradeDateOrContractMonth='20230620', strike=22.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='VIX   230621C00022000', tradingClass='VIX')",20230620,,22.0,C,100,VIX   230621C00022000,6.6093,USD,-576.0186,5314.15,5154.95,-1290.7799999999995,-1285.2399999999998,4023.37,3869.71,588771575,
1,2023-05-18 10:44:22,VIX,CBOE,VIX CALL BACKSPREAD HEDGE,,BOT,5.0,3.2,CLOSE,-inf,,"Option(conId=588771516, symbol='VIX', lastTradeDateOrContractMonth='20230620', strike=17.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='VIX   230621C00017000', tradingClass='VIX')",20230620,,17.0,C,100,VIX   230621C00017000,5.75775,USD,0.0,6605.23,6440.49,1440.4800000000005,1400.8000000000002,8045.71,7841.29,588771516,
2,2023-05-05 14:47:31,SPY,CBOE2,SPY CALL DEBET SPREAD,"IV_percentile 3.4340659340659343 < 50, vix_signal ==1RSI: 45.53301468588197, price: 412.985 > sma_100: 399.8470001220703,  sma_20: 410.98899841308594 > sma_100: 399.8470001220703",SLD,1.0,9.01,OPEN,,16.25,"Option(conId=584544938, symbol='SPY', lastTradeDateOrContractMonth='20230616', strike=414.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   230616C00414000', tradingClass='SPY')",20230616,2023-06-15 00:00:00,414.0,C,100,SPY   230616C00414000,1.488698,USD,0.0,2683.62,2441.41,3427.49,3114.1500000000005,6111.11,5555.56,584544938,-32.5
2,2023-05-05 14:47:20,SPY,PSE,SPY CALL DEBET SPREAD,"IV_percentile 3.4340659340659343 < 50, vix_signal ==1RSI: 45.53301468588197, price: 412.985 > sma_100: 399.8470001220703,  sma_20: 410.98899841308594 > sma_100: 399.8470001220703",BOT,1.0,9.66,OPEN,,16.25,"Option(conId=584544924, symbol='SPY', lastTradeDateOrContractMonth='20230616', strike=413.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   230616C00413000', tradingClass='SPY')",20230616,2023-06-15 00:00:00,413.0,C,100,SPY   230616C00413000,1.53905,USD,0.0,3496.89,3258.74,877.2800000000002,877.2800000000007,4374.17,4136.02,584544924,-32.5
1,2023-05-05 14:46:48,VIX,CBOE,VIX CALL BACKSPREAD HEDGE, vix_signal ==1,SLD,5.0,4.5,OPEN,,0.0,"Option(conId=588771516, symbol='VIX', lastTradeDateOrContractMonth='20230620', strike=17.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='VIX   230621C00017000', tradingClass='VIX')",20230620,2023-05-29 00:00:00,17.0,C,100,VIX   230621C00017000,5.75775,USD,0.0,2617.34,2379.4,-31.69000000000005,-28.809999999999945,2585.65,2350.59,588771516,0.0
1,2023-05-05 14:46:25,VIX,CBOE,VIX CALL BACKSPREAD HEDGE, vix_signal ==1,BOT,10.0,2.31,OPEN,,0.0,"Option(conId=588771575, symbol='VIX', lastTradeDateOrContractMonth='20230620', strike=22.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='VIX   230621C00022000', tradingClass='VIX')",20230620,2023-05-29,22.0,C,100,VIX   230621C00022000,11.5155,USD,0.0,3308.59,3308.59,2067.87,2067.87,5376.46,5376.46,588771575,0.0
