hard_position,time,symbol,exchange,strategy,condition,side,shares,price,status,PNL_position,expected_return,contract,lastTradeDateOrContractMonth,date_to_close,strike,right,multiplier,localSymbol,commission,currency,realizedPNL,initMarginBefore,maintMarginBefore,initMarginChange,maintMarginChange,initMarginAfter,maintMarginAfter,conId,maximum_loss
5,2023-05-04 14:50:14,VIX,CBOE,VIX CALL BACKSPREAD HEDGE, vix_signal ==1,SLD,5.0,4.2,OPEN,,,"Option(conId=588771551, symbol='VIX', lastTradeDateOrContractMonth='20230620', strike=20.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='VIX   230621C00020000', tradingClass='VIX')",20230620,2023-05-28 00:00:00,20.0,C,100,VIX   230621C00020000,5.75775,USD,0.0,14264.21,12977.91,-1410.66,-1282.42,12853.55,11695.49,588771551,
5,2023-05-04 14:49:50,VIX,CBOE,VIX CALL BACKSPREAD HEDGE, vix_signal ==1,BOT,6.0,2.55,OPEN,,,"Option(conId=588771608, symbol='VIX', lastTradeDateOrContractMonth='20230620', strike=25.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='VIX   230621C00025000', tradingClass='VIX')",20230620,2023-05-28 00:00:00,25.0,C,100,VIX   230621C00025000,6.9093,USD,0.0,15657.22,14244.15,2456.6900000000005,2233.3599999999988,18113.91,16477.51,588771608,
5,2023-05-04 14:49:23,VIX,CBOE,VIX CALL BACKSPREAD HEDGE, vix_signal ==1,BOT,2.0,2.55,OPEN,,,"Option(conId=588771608, symbol='VIX', lastTradeDateOrContractMonth='20230620', strike=25.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='VIX   230621C00025000', tradingClass='VIX')",20230620,2023-05-28 00:00:00,25.0,C,100,VIX   230621C00025000,2.3031,USD,0.0,15657.22,14244.15,2456.6900000000005,2233.3599999999988,18113.91,16477.51,588771608,
5,2023-05-04 14:49:22,VIX,CBOE,VIX CALL BACKSPREAD HEDGE, vix_signal ==1,BOT,1.0,2.52,OPEN,,,"Option(conId=588771608, symbol='VIX', lastTradeDateOrContractMonth='20230620', strike=25.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='VIX   230621C00025000', tradingClass='VIX')",20230620,2023-05-28 00:00:00,25.0,C,100,VIX   230621C00025000,0.80155,USD,0.0,15656.51,14243.5,2456.58,2233.2599999999984,18113.09,16476.76,588771608,
5,2023-05-04 14:48:29,VIX,CBOE,VIX CALL BACKSPREAD HEDGE, vix_signal ==1,BOT,1.0,2.52,OPEN,,,"Option(conId=588771608, symbol='VIX', lastTradeDateOrContractMonth='20230620', strike=25.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='VIX   230621C00025000', tradingClass='VIX')",20230620,2023-05-28 00:00:00,25.0,C,100,VIX   230621C00025000,1.50155,USD,0.0,15656.51,14243.5,2456.58,2233.2599999999984,18113.09,16476.76,588771608,
3,2023-04-27 12:40:16,SPY,BATS,SPY CALL DEBET SPREAD,"IV_percentile 7.005494505494506 < 50, vix_signal ==1RSI: 53.58634105096165, price: 409.46 > sma_100: 399.160299987793,  sma_20: 410.0845016479492 > sma_100: 399.160299987793",SLD,1.0,9.16,OPEN,,17.5,"Option(conId=625385537, symbol='SPY', lastTradeDateOrContractMonth='20230602', strike=409.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   230602C00409000', tradingClass='SPY')",20230602,2023-06-01 00:00:00,409.0,C,100,SPY   230602C00409000,1.538818,USD,19.102132,178.87,168.09,3280.2200000000003,2976.54,3459.09,3144.63,625385537,-35.0
3,2023-04-27 12:39:49,SPY,ISE,SPY CALL DEBET SPREAD,"IV_percentile 7.005494505494506 < 50, vix_signal ==1RSI: 53.58634105096165, price: 409.46 > sma_100: 399.160299987793,  sma_20: 410.0845016479492 > sma_100: 399.160299987793",BOT,1.0,9.86,OPEN,,17.5,"Option(conId=625385499, symbol='SPY', lastTradeDateOrContractMonth='20230602', strike=408.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   230602C00408000', tradingClass='SPY')",20230602,2023-06-01 00:00:00,408.0,C,100,SPY   230602C00408000,1.41905,USD,0.0,1010.78,1010.78,893.6400000000001,893.6400000000001,1904.42,1904.42,625385499,-35.0
2,2023-04-27 12:03:32,SPY,PSE,SPY CALL DEBET SPREAD,"IV_percentile 7.005494505494506 < 50, vix_signal ==1RSI: 53.78372025822983, price: 409.58 > sma_100: 399.1617999267578,  sma_20: 410.0920013427734 > sma_100: 399.1617999267578",SLD,1.0,7.87,OPEN,,16.25,"Option(conId=625385682, symbol='SPY', lastTradeDateOrContractMonth='20230602', strike=411.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   230602C00411000', tradingClass='SPY')",20230602,2023-06-01 00:00:00,411.0,C,100,SPY   230602C00411000,1.547786,USD,0.0,117.99,113.54,3328.98,3020.07,3446.97,3133.61,625385682,-32.5
2,2023-04-27 12:03:21,SPY,BATS,SPY CALL DEBET SPREAD,"IV_percentile 7.005494505494506 < 50, vix_signal ==1RSI: 53.78372025822983, price: 409.58 > sma_100: 399.1617999267578,  sma_20: 410.0920013427734 > sma_100: 399.1617999267578",BOT,1.0,8.52,OPEN,,16.25,"Option(conId=625385608, symbol='SPY', lastTradeDateOrContractMonth='20230602', strike=410.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   230602C00410000', tradingClass='SPY')",20230602,2023-06-01 00:00:00,410.0,C,100,SPY   230602C00410000,1.52905,USD,-25.06718,834.07,834.07,774.17,774.17,1608.24,1608.24,625385608,-32.5
1,2023-04-27 11:31:26,SPY,BATS,SPY CALL DEBET SPREAD,"IV_percentile 8.241758241758243 < 50, vix_signal ==1RSI: 52.820629124802736, price: 408.87 > sma_100: 399.1545999145508,  sma_20: 410.0560012817383 > sma_100: 399.1545999145508",SLD,1.0,8.3,OPEN,,15.999999999999972,"Option(conId=625385608, symbol='SPY', lastTradeDateOrContractMonth='20230602', strike=410.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   230602C00410000', tradingClass='SPY')",20230602,2023-06-01 00:00:00,410.0,C,100,SPY   230602C00410000,1.53813,USD,0.0,58.96,57.11,3395.12,3082.96,3454.08,3140.07,625385608,-31.999999999999943
